Belfast Westlink Roden Street,,,,,,,,,,,
Nitric oxide,Status,Nitrogen dioxide,Status,Nitrogen oxides as nitrogen dioxide,Status,Modelled Wind Direction,Status,Modelled Wind Speed,Status,Modelled Temperature,Status
2,V µg/m³,11,V µg/m³,14,V µg/m³,No data,No data,No data,No data,No data,No data
No data,V µg/m³,No data,V µg/m³,No data,V µg/m³,No data,No data,No data,No data,No data,No data
No data,V µg/m³,No data,V µg/m³,No data,V µg/m³,No data,No data,No data,No data,No data,No data
8,V µg/m³,19,V µg/m³,31,V µg/m³,No data,No data,No data,No data,No data,No data
8,V µg/m³,20,V µg/m³,32,V µg/m³,No data,No data,No data,No data,No data,No data
12,V µg/m³,21,V µg/m³,40,V µg/m³,No data,No data,No data,No data,No data,No data
3,V µg/m³,13,V µg/m³,17,V µg/m³,No data,No data,No data,No data,No data,No data
18,V µg/m³,33,V µg/m³,61,V µg/m³,No data,No data,No data,No data,No data,No data
21,V µg/m³,36,V µg/m³,68,V µg/m³,No data,No data,No data,No data,No data,No data
11,V µg/m³,24,V µg/m³,40,V µg/m³,No data,No data,No data,No data,No data,No data
17,V µg/m³,24,V µg/m³,50,V µg/m³,No data,No data,No data,No data,No data,No data
15,V µg/m³,31,V µg/m³,54,V µg/m³,No data,No data,No data,No data,No data,No data
85,V µg/m³,62,V µg/m³,192,V µg/m³,No data,No data,No data,No data,No data,No data
54,V µg/m³,52,V µg/m³,135,V µg/m³,No data,No data,No data,No data,No data,No data
31,V µg/m³,38,V µg/m³,85,V µg/m³,No data,No data,No data,No data,No data,No data
48,V µg/m³,48,V µg/m³,122,V µg/m³,No data,No data,No data,No data,No data,No data
31,V µg/m³,35,V µg/m³,83,V µg/m³,No data,No data,No data,No data,No data,No data
