Belfast Stockman's Lane,,,,,,,,,,,,,
Nitric oxide,Status,Nitrogen dioxide,Status,Nitrogen oxides as nitrogen dioxide,Status,PM10 particulate matter (Hourly measured),Status,Modelled Wind Direction,Status,Modelled Wind Speed,Status,Modelled Temperature,Status
14,V µg/m³,30,V µg/m³,52,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
51,V µg/m³,46,V µg/m³,124,V µg/m³,15,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
52,V µg/m³,44,V µg/m³,123,V µg/m³,17,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
39,V µg/m³,43,V µg/m³,102,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
41,V µg/m³,38,V µg/m³,101,V µg/m³,17,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
55,V µg/m³,41,V µg/m³,125,V µg/m³,10,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
27,V µg/m³,24,V µg/m³,65,V µg/m³,6,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
21,V µg/m³,27,V µg/m³,60,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
36,V µg/m³,35,V µg/m³,90,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
56,V µg/m³,36,V µg/m³,121,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
57,V µg/m³,43,V µg/m³,131,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
46,V µg/m³,40,V µg/m³,110,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
45,V µg/m³,31,V µg/m³,100,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
17,V µg/m³,21,V µg/m³,48,V µg/m³,13,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
17,V µg/m³,20,V µg/m³,46,V µg/m³,7,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
35,V µg/m³,28,V µg/m³,83,V µg/m³,11,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
45,V µg/m³,37,V µg/m³,106,V µg/m³,10,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
46,V µg/m³,37,V µg/m³,107,V µg/m³,10,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
33,V µg/m³,29,V µg/m³,80,V µg/m³,13,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
27,V µg/m³,23,V µg/m³,65,V µg/m³,18,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
13,V µg/m³,20,V µg/m³,40,V µg/m³,19,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
14,V µg/m³,18,V µg/m³,39,V µg/m³,16,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
35,V µg/m³,34,V µg/m³,88,V µg/m³,11,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
37,V µg/m³,36,V µg/m³,92,V µg/m³,11,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
17,V µg/m³,20,V µg/m³,47,V µg/m³,9,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
24,V µg/m³,24,V µg/m³,60,V µg/m³,10,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
